# Time-averaged data for fix msd_out
# TimeStep c_msd_all[4]
124700 145.827
124800 146.007
124900 146.102
125000 146.42
125100 146.604
125200 146.931
125300 147.232
125400 147.398
125500 147.46
125600 147.621
125700 147.852
125800 148.139
125900 148.259
126000 148.375
126100 148.502
126200 148.477
126300 148.583
126400 148.772
126500 149.164
126600 149.466
126700 149.359
126800 149.567
126900 149.923
127000 150.113
127100 150.333
127200 150.334
127300 150.563
127400 150.957
127500 151.36
127600 151.505
127700 151.967
127800 152.042
127900 152.027
128000 152.205
128100 152.161
128200 152.385
128300 152.344
128400 152.614
128500 152.688
128600 152.945
128700 153.158
128800 153.259
128900 153.421
129000 153.866
129100 154.379
129200 154.888
129300 154.778
129400 154.93
129500 155.011
129600 155.4
129700 155.359
129800 155.375
129900 155.545
130000 155.878
130100 155.97
130200 156.339
130300 156.62
130400 156.656
130500 156.917
130600 157.237
130700 157.425
130800 157.633
130900 157.717
131000 158.14
131100 158.328
131200 158.48
131300 158.603
131400 158.812
131500 158.767
131600 159.163
131700 159.399
131800 159.669
131900 159.991
132000 160.136
132100 160.324
132200 160.613
132300 160.624
132400 160.881
132500 160.999
132600 161.166
132700 161.397
132800 161.725
132900 162.138
133000 162.55
133100 162.755
133200 162.891
133300 163.174
133400 163.475
133500 163.803
133600 163.802
133700 164.227
133800 164.475
133900 164.712
134000 165.05
134100 165.324
134200 165.361
134300 165.364
134400 165.551
134500 165.748
134600 166.06
134700 166.373
134800 166.456
134900 166.465
135000 166.69
135100 166.859
135200 167.104
135300 167.406
135400 167.695
135500 168.018
135600 168.249
135700 168.59
135800 168.848
135900 168.96
136000 169.195
136100 169.351
136200 169.42
136300 169.572
136400 169.88
136500 169.966
136600 170.314
136700 170.682
136800 170.933
136900 171.103
137000 171.355
137100 171.334
137200 171.539
137300 172.015
137400 172.098
137500 172.515
137600 172.506
137700 172.787
137800 172.991
137900 173.239
138000 173.235
138100 173.495
138200 173.462
138300 173.783
138400 173.791
138500 174.125
138600 174.504
138700 174.829
138800 175.232
138900 175.402
139000 175.425
139100 175.632
139200 176.07
139300 176.406
139400 176.586
139500 176.928
139600 177.359
139700 177.38
139800 177.564
139900 177.916
140000 178.366
140100 178.424
140200 178.329
140300 178.904
140400 179.088
140500 179.13
140600 179.459
140700 179.432
140800 179.571
140900 179.702
141000 179.994
141100 179.906
141200 180.308
141300 180.505
141400 180.695
141500 181.079
141600 181.473
141700 181.635
141800 181.891
141900 182.19
142000 182.453
142100 182.389
142200 182.531
142300 182.717
142400 182.968
142500 182.97
142600 183.34
142700 183.421
142800 183.603
142900 183.723
143000 183.781
143100 184.139
143200 184.345
143300 184.481
143400 184.742
143500 184.74
143600 184.849
143700 184.926
143800 185.331
143900 185.534
144000 185.891
144100 185.877
144200 186.129
144300 186.187
144400 186.195
144500 186.193
144600 186.102
144700 186.083
144800 186.41
144900 186.565
145000 186.897
145100 187.057
145200 187.076
145300 187.164
145400 187.646
145500 187.75
145600 188.023
145700 188.31
145800 188.393
145900 188.729
146000 189.098
146100 189.394
146200 189.495
146300 189.346
146400 189.531
146500 189.882
146600 189.998
146700 189.919
146800 190.181
146900 190.728
147000 190.935
147100 191.031
147200 191.013
147300 191.277
147400 191.37
147500 191.311
147600 191.507
147700 191.862
147800 192.226
147900 192.437
148000 192.427
148100 192.768
148200 192.966
148300 192.961
148400 193.195
148500 193.543
148600 194.015
148700 194.211
148800 194.17
148900 194.52
149000 194.755
149100 194.956
149200 195.013
149300 195.308
149400 195.72
149500 195.83
149600 196.18
149700 196.248
149800 196.392
149900 196.335
150000 196.739
150100 196.94
150200 197.115
150300 197.371
150400 197.46
150500 197.176
150600 197.726
150700 197.916
150800 198.016
150900 198.377
151000 198.666
151100 199.087
151200 199.139
151300 199.249
151400 199.265
151500 199.437
151600 199.534
151700 200.056
151800 200.325
151900 200.477
152000 200.873
152100 201
152200 201.381
152300 201.518
152400 201.855
152500 201.855
152600 202.061
152700 202.265
152800 202.497
152900 202.658
153000 202.737
153100 202.989
153200 203.109
153300 203.369
153400 203.54
153500 203.61
153600 203.792
153700 203.984
153800 204.262
153900 204.464
154000 204.97
154100 205.112
154200 205.319
154300 205.433
154400 205.394
154500 205.637
154600 205.521
154700 205.622
154800 205.743
154900 205.891
155000 206.307
155100 206.391
155200 206.689
155300 207.048
155400 207.254
155500 207.471
155600 207.549
155700 208.076
155800 208.375
155900 208.331
156000 208.282
156100 208.233
156200 208.791
156300 209.151
156400 209.31
156500 209.457
156600 209.615
156700 209.653
156800 209.762
156900 209.814
157000 210.09
157100 210.334
157200 210.791
157300 211.115
157400 211.322
157500 211.648
157600 211.698
157700 211.984
157800 211.943
157900 212.086
158000 212.227
158100 212.196
158200 212.438
158300 212.307
158400 212.528
158500 212.813
158600 212.871
158700 212.982
158800 213.367
158900 213.417
159000 213.528
159100 213.642
159200 213.804
159300 213.864
159400 213.782
159500 213.943
159600 214.205
159700 214.469
159800 214.671
159900 214.625
160000 215.032
160100 215.143
160200 215.347
160300 215.714
160400 216.101
160500 216.15
160600 216.326
160700 216.589
160800 216.686
160900 216.92
161000 217.258
161100 217.428
161200 217.561
161300 217.328
161400 217.582
161500 217.886
161600 217.83
161700 218.021
161800 217.999
161900 218.378
162000 218.825
162100 218.94
162200 218.852
162300 219.107
162400 219.335
162500 219.757
162600 219.824
162700 219.892
162800 220.166
162900 220.618
163000 220.812
163100 221.008
163200 220.982
163300 221.107
163400 221.344
163500 221.554
163600 221.829
163700 222.168
163800 222.543
163900 222.619
164000 223.14
164100 223.162
164200 223.43
164300 223.773
164400 224.025
164500 224.056
164600 224.371
164700 224.342
164800 224.264
164900 224.393
165000 224.611
165100 224.653
165200 224.767
165300 225.161
165400 225.656
165500 225.996
165600 225.959
165700 226.025
165800 226.295
165900 226.344
166000 226.766
166100 226.818
166200 226.999
166300 227.269
166400 227.183
166500 227.111
166600 227.056
166700 227.077
166800 227.301
166900 227.125
167000 227.361
167100 227.576
167200 227.827
167300 227.94
167400 228.088
167500 228.106
167600 228.355
167700 228.434
167800 228.597
167900 228.995
168000 229.295
168100 229.209
168200 229.325
168300 229.526
168400 229.86
168500 230.234
168600 230.334
168700 230.46
168800 230.237
168900 230.343
169000 230.509
169100 230.734
169200 230.725
169300 231.1
169400 231.234
169500 231.464
169600 231.61
169700 231.932
169800 232.131
169900 232.632
170000 232.681
170100 232.894
170200 232.766
170300 233.179
170400 233.157
170500 233.524
170600 233.514
170700 233.943
170800 234.367
170900 234.591
171000 234.848
171100 234.815
171200 235.285
171300 235.778
171400 235.736
171500 235.782
171600 236.06
171700 236.074
171800 236.359
171900 236.738
172000 237.087
172100 237.279
172200 237.328
172300 237.603
172400 237.676
172500 238.078
172600 238.445
172700 238.757
172800 239.068
172900 239.113
173000 238.939
173100 239.098
173200 239.577
173300 240.024
173400 240.378
173500 240.593
173600 240.579
173700 240.783
173800 241.234
173900 241.436
174000 241.699
174100 241.813
174200 241.936
174300 242.225
174400 242.346
174500 242.645
174600 242.751
174700 242.781
174800 242.925
174900 243.352
175000 243.545
175100 243.681
175200 243.948
175300 244.199
175400 244.41
175500 244.839
175600 244.871
175700 245.017
175800 245.111
175900 245.286
176000 245.408
176100 245.408
176200 245.069
176300 245.186
176400 245.348
176500 245.492
176600 245.751
176700 246.011
176800 246.231
176900 246.592
177000 246.451
177100 246.573
177200 246.956
177300 247.174
177400 247.299
177500 247.499
177600 247.619
177700 247.54
177800 247.987
177900 247.911
178000 248.247
178100 248.681
178200 249.007
178300 249.321
178400 249.46
178500 249.816
178600 250.285
178700 250.455
178800 250.954
178900 251.021
179000 251.191
179100 251.251
179200 251.238
179300 251.297
179400 251.537
179500 251.666
179600 251.769
179700 252.018
179800 251.937
179900 252.058
180000 252.028
180100 251.992
180200 252.108
180300 252.366
180400 252.546
180500 252.908
180600 253.253
180700 253.475
180800 253.693
180900 253.682
181000 253.802
181100 253.882
181200 254.009
181300 253.856
181400 254.177
181500 254.382
181600 254.736
181700 255.316
181800 255.404
181900 255.833
182000 256.366
182100 256.713
182200 256.887
182300 257.18
182400 257.207
182500 257.182
182600 257.481
182700 257.898
182800 258.233
182900 258.402
183000 258.838
183100 258.968
183200 259.276
183300 259.423
183400 259.637
183500 259.501
183600 259.716
183700 259.917
183800 260.263
183900 260.194
184000 260.571
184100 260.465
184200 260.375
184300 260.494
184400 260.546
184500 260.749
184600 261.187
184700 261.497
184800 261.468
184900 261.57
185000 261.619
185100 261.702
185200 262.254
185300 262.398
185400 262.745
185500 262.621
185600 262.675
185700 262.952
185800 263.031
185900 263.365
186000 263.305
186100 263.503
186200 263.653
186300 264.197
186400 264.4
186500 264.864
186600 265.026
186700 265.284
186800 265.977
186900 266.272
187000 266.434
187100 266.292
187200 266.348
187300 266.566
187400 266.735
187500 267.153
187600 267.147
187700 267.186
187800 267.435
187900 267.317
188000 267.652
188100 267.724
188200 268.074
188300 268.157
188400 268.15
188500 268.532
188600 268.805
188700 269.229
188800 269.684
188900 269.748
189000 270.217
189100 270.25
189200 270.369
189300 270.802
189400 270.869
189500 270.93
189600 271.036
189700 271.239
189800 271.36
189900 271.419
190000 271.588
190100 271.619
190200 271.815
190300 272.172
190400 272.517
190500 272.523
190600 272.643
190700 272.983
190800 273.308
190900 273.442
191000 273.957
191100 274.29
191200 274.501
191300 274.65
191400 274.688
191500 274.853
191600 274.827
191700 275.005
191800 275.219
191900 275.227
192000 275.263
192100 275.467
192200 275.939
192300 276.217
192400 276.484
192500 277.053
192600 277.73
192700 278.078
192800 278.312
192900 278.745
193000 278.502
193100 278.615
193200 279.139
193300 279.83
193400 279.908
193500 280.242
193600 280.294
193700 280.235
193800 280.335
193900 280.488
194000 280.779
194100 280.86
194200 281.057
194300 281.515
194400 281.923
194500 282.138
194600 282.39
194700 282.232
194800 282.585
194900 283.128
195000 283.09
195100 283.189
195200 283.196
195300 283.158
195400 283.436
195500 283.492
195600 283.207
195700 283.173
195800 283.494
195900 283.655
196000 283.847
196100 283.842
196200 284.222
196300 284.36
196400 284.223
196500 284.635
196600 285.204
196700 285.594
196800 286.09
196900 286.38
197000 286.892
197100 287.226
197200 287.364
197300 287.514
197400 287.786
197500 287.784
197600 287.657
197700 287.911
197800 288.2
197900 287.989
198000 288.206
198100 288.276
198200 287.906
198300 288.112
198400 288.141
198500 288.377
198600 288.515
198700 288.874
198800 289.025
198900 289.036
199000 288.992
199100 289.156
199200 289.417
199300 289.58
199400 289.642
199500 289.393
199600 289.546
199700 289.969
199800 290.074
199900 290.247
200000 290.545
200100 290.693
200200 291.142
200300 291.265
200400 291.229
200500 291.241
200600 291.615
200700 291.926
200800 292.123
200900 292.545
201000 292.959
201100 292.836
201200 293.022
201300 293.065
201400 293.416
201500 293.629
201600 293.987
201700 294.221
201800 294.09
201900 294.341
202000 294.569
202100 294.574
202200 294.824
202300 294.964
202400 295.077
202500 294.979
202600 295.372
202700 295.614
202800 295.277
202900 295.747
203000 296.248
203100 296.393
203200 296.642
203300 296.731
203400 297.086
203500 297.21
203600 297.089
203700 297.291
203800 297.359
203900 297.621
204000 297.944
204100 298.56
204200 299.017
204300 299.347
204400 299.573
204500 299.878
204600 300.037
204700 300.042
204800 300
204900 299.8
205000 299.844
205100 300.005
205200 300.4
205300 300.614
205400 300.689
205500 300.786
205600 300.987
205700 301.377
205800 301.775
205900 302.109
206000 302.337
206100 302.401
206200 302.827
206300 302.918
206400 303.099
206500 303.192
206600 303.291
206700 303.734
206800 303.812
206900 304.184
207000 303.905
207100 304.086
207200 304.475
207300 304.4
207400 304.317
207500 304.474
207600 304.553
207700 304.93
207800 304.987
207900 304.789
208000 305.1
208100 305.469
208200 305.797
208300 305.68
208400 305.568
208500 305.569
208600 305.745
208700 305.642
208800 306.075
208900 306.347
209000 306.469
209100 306.89
209200 307.303
209300 307.413
209400 307.209
209500 307.367
209600 307.537
209700 307.686
209800 307.859
209900 308.016
210000 308.046
210100 308.181
210200 308.293
210300 308.5
210400 308.465
210500 308.316
210600 308.353
210700 308.739
210800 309.122
210900 309.333
211000 309.468
211100 309.595
211200 309.882
211300 309.932
211400 310.063
211500 310.278
211600 310.874
211700 311.188
211800 311.11
211900 311.28
212000 311.522
212100 311.916
212200 312.202
212300 312.284
212400 312.537
212500 312.509
212600 312.927
212700 313.473
212800 313.755
212900 313.85
213000 314.243
213100 314.62
213200 314.439
213300 314.38
213400 314.145
213500 314.135
213600 314.362
213700 314.572
213800 314.552
213900 314.678
214000 314.847
214100 315.068
214200 314.869
214300 315.136
214400 315.361
214500 315.259
214600 315.472
214700 315.597
214800 315.562
214900 315.652
215000 315.757
215100 315.996
215200 316.087
215300 316.633
215400 316.957
215500 317.252
215600 317.718
215700 317.781
215800 317.795
215900 317.716
216000 317.732
216100 317.852
216200 317.717
216300 317.836
216400 318.25
216500 318.254
216600 317.749
216700 317.517
216800 317.627
216900 317.807
217000 317.884
217100 317.809
217200 318.115
217300 318.613
217400 319.157
217500 319.326
217600 319.734
217700 319.824
217800 319.83
217900 319.927
218000 320.19
218100 320.228
218200 320.237
218300 320.602
218400 321.026
218500 321.404
218600 321.228
218700 321.321
218800 321.593
218900 322.053
219000 322.471
219100 322.632
219200 322.763
219300 323.083
219400 323.408
219500 323.539
219600 323.956
219700 324.149
219800 324.443
219900 324.549
220000 324.793
220100 324.975
220200 324.912
220300 324.978
220400 325.261
220500 325.881
220600 326.316
220700 326.732
220800 326.7
220900 327.18
221000 327.546
221100 327.702
221200 327.958
221300 328.041
221400 327.839
221500 328.145
221600 328.617
221700 328.823
221800 329.139
221900 329.017
222000 328.926
222100 328.897
222200 328.853
222300 329.001
222400 329.283
222500 329.385
222600 329.411
222700 329.78
222800 330.137
222900 330.984
223000 331.264
223100 331.699
223200 332.084
223300 332.939
223400 332.858
223500 333.081
223600 333.263
223700 333.386
223800 333.236
223900 333.653
224000 334.01
224100 334.391
224200 334.589
224300 334.55
224400 334.599
224500 335.093
224600 335.176
224700 335.274
224800 335.226
224900 335.434
